City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
47,yar-sale,RU,66.8333,70.8333,5.81,91,51,11.3,broken clouds
48,punta arenas,CL,-53.15,-70.9167,44.71,70,0,10.36,clear sky
49,busselton,AU,-33.65,115.3333,69.13,82,93,8.55,overcast clouds
50,souillac,MU,-20.5167,57.5167,75.58,94,75,18.41,moderate rain
51,pampa,US,35.5362,-100.9599,56.35,87,75,9.22,broken clouds
52,chabahar,IR,25.2919,60.643,77.97,52,0,5.84,clear sky
53,airai,TL,-8.9266,125.4092,62.13,70,49,1.52,scattered clouds
54,torbay,CA,47.6666,-52.7314,34.27,92,100,19.57,light snow
55,altay,CN,47.8667,88.1167,35.2,40,100,9.91,overcast clouds
56,mehamn,NO,71.0357,27.8492,28.35,86,75,23.02,broken clouds
57,cape town,ZA,-33.9258,18.4232,65.12,69,0,25.32,clear sky
58,phan thiet,VN,10.9333,108.1,76.26,84,100,6.58,overcast clouds
59,san patricio,US,28.017,-97.5169,80.19,52,85,16.55,overcast clouds
60,soyo,AO,-6.1349,12.3689,79.09,90,100,3.71,light rain
61,jamestown,US,42.097,-79.2353,33.39,66,100,19.57,overcast clouds
62,benjamin aceval,PY,-24.9667,-57.5667,69.94,53,9,5.88,clear sky
63,yertarskiy,RU,56.7902,64.2995,20.89,98,100,2.06,overcast clouds
64,bethel,US,41.3712,-73.414,46.76,75,100,12.66,overcast clouds
65,namibe,AO,-15.1961,12.1522,71.17,81,83,1.48,broken clouds
66,ransang,PH,8.9603,117.5828,79.34,82,94,3.51,overcast clouds
67,kaitangata,NZ,-46.2817,169.8464,58.86,61,23,8.59,few clouds
68,palmer,US,42.1584,-72.3287,47.66,58,75,20.71,broken clouds
69,hasaki,JP,35.7333,140.8333,45.28,53,60,11.41,broken clouds
70,bubaque,GW,11.2833,-15.8333,74.97,74,3,19.89,clear sky
71,kaeo,NZ,-35.1,173.7833,73.33,82,26,4.38,scattered clouds
72,tiksi,RU,71.6872,128.8694,16.02,94,100,6.24,overcast clouds
