City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
27,Xining,CN,2022-03-31 17:58:51,36.6167,101.7667,35.73,74,99,6.33
28,Chokurdakh,RU,2022-03-31 17:58:51,70.6333,147.9167,-32.13,100,92,2.26
29,Upernavik,GL,2022-03-31 17:58:51,72.7868,-56.1549,17.58,96,100,12.3
30,Saldanha,ZA,2022-03-31 17:58:52,-33.0117,17.9442,64.45,75,49,24.63
31,Saint-Philippe,RE,2022-03-31 17:58:52,-21.3585,55.7679,78.39,72,75,14.63
32,Araxa,BR,2022-03-31 17:55:06,-19.5933,-46.9406,85.96,45,40,8.05
33,Meulaboh,ID,2022-03-31 17:58:53,4.1363,96.1285,77.52,84,98,2.33
34,Norman Wells,CA,2022-03-31 17:58:53,65.282,-126.8329,-14.76,58,20,20.71
35,Vaini,TO,2022-03-31 17:58:53,-21.2,-175.2,80.71,77,100,9.46
36,Neuquen,AR,2022-03-31 17:56:47,-38.9516,-68.0591,69.69,24,0,5.75
37,Bronnoysund,NO,2022-03-31 17:58:54,65.4625,12.1997,33.8,64,20,7.0
38,Talnakh,RU,2022-03-31 17:58:54,69.4865,88.3972,16.21,92,81,5.23
39,Airai,TL,2022-03-31 17:58:55,-8.9266,125.4092,56.71,85,4,2.01
40,Puerto Ayora,EC,2022-03-31 17:58:55,-0.7393,-90.3518,80.56,77,94,5.66
41,Atuona,PF,2022-03-31 17:58:56,-9.8,-139.0333,78.55,73,15,9.28
42,Ancud,CL,2022-03-31 17:58:56,-41.8697,-73.8203,62.22,60,99,4.5
43,Acapulco,MX,2022-03-31 17:57:43,16.8634,-99.8901,81.97,47,38,8.01
44,Kaitangata,NZ,2022-03-31 17:58:49,-46.2817,169.8464,47.71,73,100,5.12
45,Albany,US,2022-03-31 17:59:23,42.6001,-73.9662,58.26,80,88,1.99
46,Saint-Leu,RE,2022-03-31 17:59:57,-21.15,55.2833,77.86,70,69,10.51
47,San Quintin,MX,2022-03-31 17:59:57,30.4833,-115.95,62.96,64,87,16.51
48,Sitka,US,2022-03-31 17:59:58,57.0531,-135.33,40.89,75,75,4.61
49,Sept-Iles,CA,2022-03-31 17:59:58,50.2001,-66.3821,36.12,75,75,6.91
50,Puerto Cabezas,NI,2022-03-31 17:59:59,14.0351,-83.3888,85.96,79,75,9.22
51,New Norfolk,AU,2022-03-31 17:59:59,-42.7826,147.0587,54.9,66,70,2.35
52,Brigantine,US,2022-03-31 18:00:00,39.4101,-74.3646,67.03,90,100,24.72
53,Gallup,US,2022-03-31 18:00:00,35.5281,-108.7426,54.01,38,100,1.99
54,Busselton,AU,2022-03-31 18:00:01,-33.65,115.3333,70.16,69,1,10.36
55,Champerico,GT,2022-03-31 18:00:04,14.3,-91.9167,86.52,56,42,11.39
56,Cidreira,BR,2022-03-31 18:00:05,-30.1811,-50.2056,65.86,52,37,9.26
57,Ponta Do Sol,PT,2022-03-31 18:00:06,32.6667,-17.1,68.0,78,45,3.56
58,Barrow,US,2022-03-31 18:00:08,71.2906,-156.7887,-16.58,76,0,16.11
59,Kendari,ID,2022-03-31 17:56:33,-3.945,122.4989,75.18,94,97,4.09
60,Saint-Pierre,RE,2022-03-31 18:00:09,-21.3393,55.4781,78.48,69,0,18.41
61,Abu Dhabi,AE,2022-03-31 17:55:21,24.4667,54.3667,75.31,72,0,9.22
62,East London,ZA,2022-03-31 18:00:10,-33.0153,27.9116,68.41,90,100,2.82
63,Port Alfred,ZA,2022-03-31 18:00:11,-33.5906,26.891,64.18,92,100,1.99
64,Nantucket,US,2022-03-31 18:00:12,41.2835,-70.0995,59.11,86,96,26.02
65,Qorveh,IR,2022-03-31 18:00:13,35.1664,47.8045,49.01,57,23,1.9
66,Kefamenanu,ID,2022-03-31 18:00:14,-9.4467,124.4781,68.32,91,3,2.71
67,Codrington,AU,2022-03-31 18:00:15,-38.2667,141.9667,58.84,58,79,14.56
68,Bandarbeyla,SO,2022-03-31 18:00:16,9.4942,50.8122,80.96,81,13,11.54
69,Klaksvik,FO,2022-03-31 18:00:17,62.2266,-6.589,38.32,88,100,4.56
70,Kavieng,PG,2022-03-31 18:00:19,-2.5744,150.7967,81.68,77,100,13.94
71,Zakamensk,RU,2022-03-31 18:00:21,50.3741,103.2863,18.14,93,59,3.13
72,Kurchum,KZ,2022-03-31 18:00:22,48.5722,83.6542,30.9,55,40,7.47
73,Shimoda,JP,2022-03-31 18:00:23,34.6667,138.95,48.11,93,100,12.59
74,Great Yarmouth,GB,2022-03-31 18:00:24,52.6083,1.7305,41.25,49,88,30.24
75,Sao Joao Da Barra,BR,2022-03-31 18:00:25,-21.6403,-41.0511,81.9,73,11,9.51
76,Zapolyarnyy,RU,2022-03-31 18:00:25,69.4154,30.8136,22.28,91,100,4.81
77,Mataura,NZ,2022-03-31 18:00:26,-46.1927,168.8643,44.91,88,100,1.88
78,Khatanga,RU,2022-03-31 18:00:27,71.9667,102.5,-3.64,100,43,4.68
79,Pochutla,MX,2022-03-31 18:00:28,15.7432,-96.4661,85.82,29,67,11.01
80,Thompson,CA,2022-03-31 18:00:28,55.7435,-97.8558,31.82,90,99,6.64
81,Dno,RU,2022-03-31 18:00:29,57.8277,29.9637,22.75,85,72,2.37
82,Katsuura,JP,2022-03-31 18:00:29,35.1333,140.3,48.45,90,100,27.74
83,High Prairie,CA,2022-03-31 18:00:30,55.4334,-116.4858,35.71,79,52,13.47
84,Qaanaaq,GL,2022-03-31 18:00:30,77.484,-69.3632,22.41,70,53,4.83
85,Provideniya,RU,2022-03-31 18:00:31,64.3833,-173.3,18.32,84,100,19.42
86,Saint George,US,2022-03-31 17:56:40,37.1041,-113.5841,70.63,30,71,1.99
87,Castro,BR,2022-03-31 18:00:32,-24.7911,-50.0119,58.15,98,100,8.39
88,Cariati,IT,2022-03-31 18:00:32,39.4922,16.9594,58.73,89,28,7.54
89,Kupang,ID,2022-03-31 18:00:33,-10.1667,123.5833,76.3,84,6,6.4
90,Aksu,CN,2022-03-31 18:00:26,41.1231,80.2644,53.02,43,67,7.0
91,Pimentel,PE,2022-03-31 18:01:33,-6.8367,-79.9342,74.32,75,39,13.78
92,Bouar,CF,2022-03-31 18:01:34,5.934,15.596,80.98,35,87,2.24
93,Bethel,US,2022-03-31 18:01:34,41.3712,-73.414,62.69,80,100,10.36
94,Berlevag,NO,2022-03-31 18:01:34,70.8578,29.0864,26.55,63,75,12.66
95,Butaritari,KI,2022-03-31 18:01:35,3.0707,172.7902,80.65,79,64,12.82
96,Port Elizabeth,ZA,2022-03-31 18:01:36,-33.918,25.5701,67.1,83,100,4.0
97,Sao Filipe,CV,2022-03-31 18:01:36,14.8961,-24.4956,72.59,73,6,12.62
98,Wuxue,CN,2022-03-31 18:01:37,29.8506,115.5525,52.48,89,100,2.55
99,Port Hardy,CA,2022-03-31 18:00:19,50.6996,-127.4199,44.74,71,98,3.91
100,Kurume,JP,2022-03-31 18:01:37,33.3167,130.5167,52.97,62,100,9.35
101,Mahebourg,MU,2022-03-31 18:01:38,-20.4081,57.7,77.25,76,98,18.9
102,Peruibe,BR,2022-03-31 18:01:38,-24.32,-46.9983,68.79,92,98,10.71
103,Stepnyak,KZ,2022-03-31 18:01:39,52.8339,70.7803,29.7,84,100,15.75
104,Marivan,IR,2022-03-31 18:01:40,35.5219,46.176,53.71,50,2,3.15
105,Qaqortoq,GL,2022-03-31 18:01:40,60.7167,-46.0333,37.11,76,99,3.38
106,Bambous Virieux,MU,2022-03-31 18:01:41,-20.3428,57.7575,77.22,76,100,18.88
107,Lebu,CL,2022-03-31 18:01:41,-37.6167,-73.65,56.89,62,10,21.85
108,Wellington,NZ,2022-03-31 18:00:19,-41.2866,174.7756,62.06,93,100,11.5
109,Ostrovnoy,RU,2022-03-31 18:01:42,68.0531,39.5131,23.76,77,99,11.1
110,Mar Del Plata,AR,2022-03-31 17:59:11,-38.0023,-57.5575,62.62,80,40,13.0
111,Flinders,AU,2022-03-31 18:01:43,-34.5833,150.8552,58.17,88,100,8.99
112,Hermanus,ZA,2022-03-31 18:01:43,-34.4187,19.2345,64.8,73,65,8.46
113,Tazovskiy,RU,2022-03-31 17:57:43,67.4667,78.7,10.02,94,91,13.82
114,Jinchang,CN,2022-03-31 18:01:44,38.4953,102.1739,44.22,36,100,2.42
115,Vila,PT,2022-03-31 18:01:45,42.0304,-8.1588,47.28,87,99,5.19
116,Tasiilaq,GL,2022-03-31 18:01:45,65.6145,-37.6368,39.36,99,100,7.05
117,Moa,CU,2022-03-31 18:01:46,20.6569,-74.9403,83.16,64,30,15.97
118,Kidal,ML,2022-03-31 18:01:46,18.4411,1.4078,93.25,3,30,6.33
119,Benavente,ES,2022-03-31 18:01:47,42.0025,-5.6783,45.12,70,91,19.91
